brand,url_post,caption,likes,comments_count,all_comments,media_type,dominant_color,color_name,upload_time,profile_category,hashtags,post_hour,post_day
batikula,https://www.instagram.com/batikula/p/DK--SAzz2L8/,"Kamu pikir ini blouse pink biasa… sampai lihat detail kerut dan kancing tersembunyinya 😌🌸.Bestari Blouse siap temani hari kerja kamu dengan look yang manis tapi tetap rapi maksimal. Bisa dipakai rapat, bisa juga buat makan siang cantik 😍.BATIKULA New Collection: Bestari BlouseTersedia mulai Rabu, 18 Juni 2025 di Shopee & WhatsApp ✅.Harga:𝐖𝐇𝐀𝐓𝐒𝐀𝐏𝐏 213.000𝐒𝐇𝐎𝐏𝐄𝐄 219.000#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",65,34,Sang model pakai size apa min....?? mauuuu cara pesannya gimana ya kak? Verified in Indonesia Instagram from AI,post,"(198, 194, 196)",unknown,2025-06-17 07:45:26,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,7,Tuesday
batikula,https://www.instagram.com/batikula/p/DK8vunNT688/,"Dresscode monthly meeting harus batik, tapi kamu pengennya tampil nggak kayak biasanya 🤔?Tenang, Radmila Blouse ini punya motif kupu-kupu & potongan fit yang bikin look tetap kalem tapi ada sentuhan yang bikin beda & standout ✨.BATIKULA New Collection: Radmila BlouseTersedia mulai Rabu, 18 Juni 2025 di Shopee & WhatsApp ✅.Harga:𝐖𝐇𝐀𝐓𝐒𝐀𝐏𝐏 217.000𝐒𝐇𝐎𝐏𝐄𝐄 223.000#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",93,33,yang mau titipp silahkan dr Bogor Verified in Indonesia Instagram from AI,post,"(207, 202, 203)",unknown,2025-06-17 07:44:58,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,7,Tuesday
batikula,https://www.instagram.com/batikula/reel/DK5tqrQTHpm/,"Yang manis-manis ya cuma Bestari Blouse 💖.Aksen kerutnya bikin kelihatan unik, motifnya classic tapi ga bosenin, dan yang paling penting, siapa yang bisa nolak warna pink se-cakep ini 😁?Segera tersedia di Batikula ✨!#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",2,40,Model pakai size apa kak Yg ini ada tunik nya ga ya LDnya brp min? Harganya brp? Bisa cod Jogja gk? Semoga cepet restok kak. Belum ada di shopee kak Verified in Indonesia Instagram from AI,reel,,,2025-06-15 00:53:00,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,0,Sunday
batikula,https://www.instagram.com/batikula/reel/DK3S5VXT4qK/,"Semua godaan self reward bisa ditahan kecuali yang satu ini 😆!Yes, Radmila Blouse ini bisa jadi self-reward favoritmu bulan ini ✌️. Dominan warna coklat muda + biru nya nambahin kesan elegan & profesional buat dipakai ngantor seharian ✅.Segera tersedia di Batikula ✨!#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",123,37,ChicLe Freak Edit MasyaAllah... Cakep milaa... Sabar ya mila gajian sebentar lagi.... Definisi ngga hanya cantik tapi juga menawan plissssss keracunan lagii Restock motif ini ka please...! Verified in Indonesia Instagram from AI,reel,,,2025-06-14 02:12:49,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,2,Saturday
batikula,https://www.instagram.com/batikula/reel/DKzBwJSTbzi/,"Masuk kuping kanan, keluar checkout koleksi Batikula buat hibur diri 🤧.#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",50,34,Kapan restock min? Verified in Indonesia Instagram from AI,reel,,,2025-06-12 10:25:00,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,10,Thursday
batikula,https://www.instagram.com/batikula/p/DKv3y7KTN3b/,"Kalimat saktinya Batikulamates: “Gapapa checkout hari ini, minggu depan engga” Tapi berujung checkout lagi karena batiknya secakep Dania Blouse 😆💚! Elegan, sopan, profesional, kata yang cocok mewakili koleksi ini✨BATIKULA Restock Collection: Dania Blouse Tersedia mulai 11 Juni 2025 di Shopee & WhatsApp ✅.#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",48,32,Verified in Indonesia Instagram from AI,post,"(158, 148, 137)",unknown,2025-06-11 05:00:17,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,5,Wednesday
batikula,https://www.instagram.com/batikula/reel/DKtmV3PzLkr/,"Kalau MBTI kamu jadi batik… bakal gimana ya 👀? Dari yang kalem banget sampai yang rame dan suka tampil beda, tiap tipe kepribadian punya gaya khasnya 🤭.In frame:- Dania Blouse- Trisna Blouse- Talia BlouseKalau MBTI mu apa, Batikulamates 🤔? Komen di bawah dong👇🏻!BATIKULA Restock Collection tersedia mulai 11 Juni 2025 di Shopee & WhatsApp ✅.#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",68,33,Sabrina CarpenterManchild Verified in Indonesia Instagram from AI,reel,,,2025-06-10 07:52:00,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,7,Tuesday
batikula,https://www.instagram.com/batikula/p/DKtGvZCTbdQ/,"Awalnya keliatan simple banget… sampai pas duduk di kantor, orang mulai notice detail merahnya ❤️.Lupita Tunik ini memang tipenya yang kalau dilihat dari dekat… wah, banyak kejutan 🤭. Dari motif ayam jago yang klasik, sampai aksen merah yang bikin gaya makin tegas 😉.BATIKULA New Collection: Lupita TunikTersedia mulai Rabu, 11 Juni 2025 di Shopee & WhatsApp ✅.Harga:𝐖𝐇𝐀𝐓𝐒𝐀𝐏𝐏 𝟐𝟏𝟖.𝟎𝟎𝟎𝐒𝐇𝐎𝐏𝐄𝐄 𝟐𝟐𝟒.𝟎𝟎𝟎#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",144,33,Aku mau ukuran XL ga kebagian Verified in Indonesia Instagram from AI,post,"(145, 147, 142)",unknown,2025-06-10 03:13:22,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,3,Tuesday
batikula,https://www.instagram.com/batikula/p/DKrlR3hzzvV/,"Tiap hari kepikiran gimana caranya tampil cantik di kantor 🫣. Padahal ternyata cuma sesimpel bisa milih outfit yang aku, kamu, dan kita suka 😘.Contohnya: Tirasari Tunik 🩵. Warnanya soft, motifnya unik, auto cantik 👌.BATIKULA New Collection: Tirasari TunikTersedia mulai 11 Juni 2025 di Shopee & WhatsApp ✅.Harga:𝐖𝐇𝐀𝐓𝐒𝐀𝐏𝐏 𝟐𝟏𝟖.𝟎𝟎𝟎𝐒𝐇𝐎𝐏𝐄𝐄 𝟐𝟐𝟒.𝟎𝟎𝟎#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",1046,41,"Bagus banget kapan restock di shopee kak Lucu Cek harga kak Berapa kak??? Bisa custom ld ga sih Model gini yg gelap ada kah? Ada akun ditiktok shop gak kak bagus ya ini, buat seragam misal mufri.mup Verified in Indonesia Instagram from AI",post,"(200, 203, 206)",unknown,2025-06-10 03:11:34,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,3,Tuesday
batikula,https://www.instagram.com/batikula/p/DKf98V6zkz4/,"112 likes, 2 comments - batikula on June 4, 2025",112,33,ini brp kakk Verified in Indonesia Instagram from AI,post,"(176, 174, 177)",unknown,2025-06-09 17:09:26,Clothing (Brand),,17,Monday
batikula,https://www.instagram.com/batikula/reel/DKn3bkFzNOX/,"Pecinta tunik panjang wajib happy karena.....Mila kenalin sama Lupita Tunik yang panjangnya 85cm, aman menutup badan belakang, motif simple tapi warnanya standout 🤗. Ada aksen merah kontras yang kasih kesan elegan ✨. Bener-bener definisi tunik favorit banget ❤️!Segera tersedia di Shopee & WhatsApp Batikula ✅.#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",2,47,Ella FitzgeraldOoo Baby Baby Yakksss naksirr bgt inii..panjang soalnyaa Aku banget sih iniii luv Mauuu banget Ma syaa Allah Aaa suka bgt kapan ya muat pake lg BAGUSSSSS Kapan bisa diorder kak? Cantik Ehhh bagus nih buat buguruuu Mau bgt Mau Restock ini kak... namaku itu kak Cakep nihwidyangin Verified in Indonesia Instagram from AI,reel,,,2025-06-08 02:23:56,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,2,Sunday
batikula,https://www.instagram.com/batikula/reel/DKlVGV4zCwa/,Pengen punya batik yang warnanya secerah langit biru ⛅️🩵?Say no more 🤗! Mila kenalin sama Tirasari Tunik yang pakai desain semi kimono + ada detail kancing dekoratif nya 😙. Perfect combo buat outfit ngantormu 🤭!Segera tersedia di Shopee & WhatsApp Batikula ✅.#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,80,39,Ka ini masih ada ka Kapan ready di shopee kak? Cek harga kak yang mau titipp silahkan dr Bogor Brp hrg? Verified in Indonesia Instagram from AI,reel,,,2025-06-07 02:45:21,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,2,Saturday
batikula,https://www.instagram.com/batikula/reel/DKhEQrpz1Yt/,"Baju buat kerja itu bukan sekadar rapi. Kita juga pengen yang:✅ Nggak pasaran✅ Modelnya anggun✅ Nggak bikin bingung mix & matchKasmira ini jawabannya 👍. Modelnya simple tapi bikin siluet kelihatan lebih manis, warnanya juga kalem tapi tetap stand out 💚.Yang penting: Bisa siapin baju ngantor… tanpa drama tiap pagi 😌✨.#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",43,35,MALIQ DEssentialsKumpul Bocah Soundtrack From JUMBO Kapan readyny Di shopee habis Verified in Indonesia Instagram from AI,reel,,,2025-06-05 11:00:00,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,11,Thursday
batikula,https://www.instagram.com/batikula/reel/DKbzwypB4vE/,"Percaya ga kalau outfit yang kamu pakai bisa jadi tanda mood mu hari itu ☺️?Kalau lagi happy, bawaannya pengen warna cerah ❤️. Kalau lagi sendu, bawaannya pengen warna gelap 🥺. Kamu gitu juga ga, Batikulamates 😌?#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",58,33,Verified in Indonesia Instagram from AI,reel,,,2025-06-03 10:00:00,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,10,Tuesday
batikula,https://www.instagram.com/batikula/p/DKa3oazh9t8/,"Hari kerja tuh suka random:Tiba-tiba disuruh jadi notulen, ikut briefing bareng klien, atau mendadak diajak makan bareng bos 😄.Tunik ini bantu kamu tampil stylish, berkat siluet slim, detail puff yang feminin, dan kancing bungkus yang bikin look-nya lebih eksklusif ✨.BATIKULA New Collection: Daryani TunikTersedia mulai Rabu, 4 Juni 2025 di Shopee & WhatsApp ✅.Harga:𝐖𝐇𝐀𝐓𝐒𝐀𝐏𝐏 𝟐𝟏𝟗.𝟎𝟎𝟎𝐒𝐇𝐎𝐏𝐄𝐄 𝟐𝟐𝟒.𝟎𝟎𝟎#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",645,37,"Kak, ini harganya berapa Kak ini warna abuabu yaa? Panjang baju brp cm ka? Ka masi ada ukuran xxl ga ya ka Harganya berapa ka Verified in Indonesia Instagram from AI",post,"(201, 200, 198)",unknown,2025-06-03 02:49:07,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,2,Tuesday
batikula,https://www.instagram.com/batikula/p/DKYogqGzBPz/,"Blouse kerja dengan cutting simple tapi anggun ✨. Kancing depan, cutting yang ngeshape pinggang, dan manset model tulip — yes, all in one 👍🏻.Ini dia: Kasmira Blouse, buat kamu yang suka tampil effortless tapi tetap cakep 🥰.BATIKULA New Collection: Kasmira BlouseTersedia mulai Rabu, 4 Juni 2025 di Shopee & WhatsApp ✅.#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",385,39,Harga brp kk stay tune di hari rabu Cek harga kaka So stunning admin wa aja blh kak Kapan ready lagi kak Size S nya hbiss di shopee Verified in Indonesia Instagram from AI,post,"(200, 201, 200)",unknown,2025-06-02 04:24:24,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,4,Monday
batikula,https://www.instagram.com/batikula/reel/DKVwVUUTv-V/,"Marathon drakor ❌Marathon meeting ✅Bedanya, kali ini looksnya tetep on point karena udah tahu outfit apa yang aku suka dan pede pakainya 😉.Mila kenalin yuk sama batik terbarunya Batikula, Daryani Tunik 💙! Segera tersedia di Shopee & WhatsApp 🤩.#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",50,33,no nafalling in love Verified in Indonesia Instagram from AI,reel,,,2025-06-01 01:42:13,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,1,Sunday
batikula,https://www.instagram.com/batikula/reel/DKTTIXBzrMC/,"Ngantor gapernah se-happy ini sebelum tahu Kasmira Blouse 💚!Kapan lagi ada batik sage yang ga cuma cocok buat ngantor, tapi juga bisa buat nikmatin matcha favoritmu after office 🤭.Dapatkan segera hanya di Batikula 😉!#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",263,39,Cantiikk Spill tanggal launching nya min cepetan Lucu bgt bisa buat bumils Belum nyampe yg kemaren udh ada lagii ajaaa huaaa ada di shopee? Model ini bakalan restock lagi gak dear? Verified in Indonesia Instagram from AI,reel,,,2025-05-31 02:51:14,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,2,Saturday
